id,date,text,url,views,forwards,replies
18601,,"sip
31@FREENET_CANFIG[همه]².sip
8.1KB",https://t.me/FREENET_CANFIG/18601,,,
18602,,"sip
31@FREENET_CANFIG[همه]³.sip
8.1KB",https://t.me/FREENET_CANFIG/18602,,,
18603,,"sip
31@FREENET_CANFIG[همه]⁴.sip
8.1KB",https://t.me/FREENET_CANFIG/18603,,,
18604,,"sip
31@FREENET_CANFIG[همه]⁵.sip
8.1KB",https://t.me/FREENET_CANFIG/18604,,,
18605,,"sip
31@FREENET_CANFIG[همه]⁶.sip
8.1KB",https://t.me/FREENET_CANFIG/18605,,,
18606,,"sip
31@FREENET_CANFIG[همه]⁷.sip
8.1KB",https://t.me/FREENET_CANFIG/18606,,,
18607,,"sip
31@FREENET_CANFIG[همه]¹.sip
8.7KB",https://t.me/FREENET_CANFIG/18607,,,
18608,,"sip
31@FREENET_CANFIG[همه]².sip
8.7KB",https://t.me/FREENET_CANFIG/18608,,,
18609,,"sip
31@FREENET_CANFIG[همه]³.sip
8.7KB
#ساکس_آیپی کانفیگ نت ملی

کانفیگ #ساکس_آی_پی 

نکته مهم: ""برای درست کار کردن نرم‌افزار حتما نرم‌افزار را به آخرین نسخه آپدیت کنید""

ساعت و تاریخ گوشی را در حالت خودکار تنظیم کنید و قبل از شروع برنامه یک بار گوشی را در حالت هواپیما قرار دهید

تمامی سرورها روی همه اپراتورها متصل هستند



لینک برنامه

لینک گپ پشتیبانی

فیلم آموزش وارد کردن کانفیگ به نرم‌افزار به صورت مستقیم 

فیلم آموزش وارد کردن کانفیگ به صورت دستی

حل مشکل و تنظیمات مربوط به بهبود اتصال در ساکس آیپی


فوروارد  ⇐  ➦

حمایت BOOSTCHANNEL



ری‌اکشن⇐

شناسه کانال تلگرام
@FREENET_CANFIG ⏎

#SocksIp
#config
حمایت از ما با فوروارد و ری‌اکشن به ما انگیزه می‌دهد تا فعالیت بیشتری داشته باشیم

 ""پست بدون ری‌اکشن تمدید نخواهد شد""

نکته خیلی مهم: در مواقعی که وصل نمی‌شوید گوشی را به مدت ۳۰ ثانیه در حالت پرواز قرار دهید سپس دوباره دکمه شروع را بزنید

ری‌اکشن فراموش نشه
246
97
48
4
4
1
4K
04:00 PM
Leave a comment",https://t.me/FREENET_CANFIG/18609,,,
18610,,"#ساکس_آیپی کانفیگ نت ملی کانفیگ #ساکس_آی_پی  نکته مهم: ""برای درست کار کردن نرم‌افزار حتما نرم‌افزار را به آخرین نسخه آپدیت کنید"" ساعت و تاریخ گوشی را در حالت خودکار تنظیم کنید و قبل از شروع...

FREENET_CANFIG
زمان ارسال پست بعدی رسیدن ری اکشن های این پست به عدد 300 خواهد بود
236
28
12
11
6
4K
04:01 PM
Leave a comment",https://t.me/FREENET_CANFIG/18610,,,
18582,,"sip
30@FREENET_CANFIG[همه]⁴.sip
8.8KB",https://t.me/FREENET_CANFIG/18582,,,
18583,,"sip
30@FREENET_CANFIG[همه]⁵.sip
8.8KB",https://t.me/FREENET_CANFIG/18583,,,
18584,,"sip
30@FREENET_CANFIG[همه]⁶.sip
8.8KB",https://t.me/FREENET_CANFIG/18584,,,
18585,,"sip
30@FREENET_CANFIG[همه]⁷.sip
8.8KB",https://t.me/FREENET_CANFIG/18585,,,
18586,,"sip
30@FREENET_CANFIG[همه]⁸.sip
8.8KB
#ساکس_آیپی کانفیگ نت ملی

کانفیگ #ساکس_آی_پی 

نکته مهم: ""برای درست کار کردن نرم‌افزار حتما نرم‌افزار را به آخرین نسخه آپدیت کنید""

ساعت و تاریخ گوشی را در حالت خودکار تنظیم کنید و قبل از شروع برنامه یک بار گوشی را در حالت هواپیما قرار دهید

تمامی سرورها روی همه اپراتورها متصل هستند



لینک برنامه

لینک گپ پشتیبانی

فیلم آموزش وارد کردن کانفیگ به نرم‌افزار به صورت مستقیم 

فیلم آموزش وارد کردن کانفیگ به صورت دستی

حل مشکل و تنظیمات مربوط به بهبود اتصال در ساکس آیپی


فوروارد  ⇐  ➦

حمایت BOOSTCHANNEL



ری‌اکشن⇐

شناسه کانال تلگرام
@FREENET_CANFIG ⏎

#SocksIp
#config
حمایت از ما با فوروارد و ری‌اکشن به ما انگیزه می‌دهد تا فعالیت بیشتری داشته باشیم

 ""پست بدون ری‌اکشن تمدید نخواهد شد""

نکته خیلی مهم: در مواقعی که وصل نمی‌شوید گوشی را به مدت ۳۰ ثانیه در حالت پرواز قرار دهید سپس دوباره دکمه شروع را بزنید

ری‌اکشن فراموش نشه
5.9K
07:34 AM",https://t.me/FREENET_CANFIG/18586,,,
