id,date,text,url,views,forwards,replies
346484,,سی‌بی‌اس‌نیوز به نقل از یک مقام دولتی جمهوری اسلامی گزارش داد تهران حملات اخیر آمریکا را «نقض جدی» تفاهم‌نامه امضاشده میان جمهوری اسلامی و آمریکا می‌داند. بر اساس این گزارش، اختلاف دو طرف بر سر نحوه اجرای تفاهم‌نامه و عبور کشتی‌های تجاری از تنگه هرمز است. تهران معتقد است همه کشتی‌های تجاری باید همچنان عبور خود را با جمهوری اسلامی هماهنگ کنند، اما واشینگتن بر این باور است که کشتی‌ها می‌توانند بدون هماهنگی با جمهوری اسلامی از تنگه هرمز عبور کنند. سی‌بی‌اس‌نیوز همچنین گزارش داد نگرانی‌هایی وجود دارد که تشدید تنش‌های اخیر به فروپاشی تفاهم‌نامه میان تهران و واشینگتن منجر شود. https://iranintl.com/202607080752 6.4K 03:40 PM,https://t.me/IranintlTV /346484,,,
346483,,Forwarded from ایران اینترنشنال ورزشی ... لیونل مسی با گلزنی و دادن پاس گل در بازی برابر مصر به رکورد ۲۱ گل زده و ۹ پاس گل در جام جهانی رسید و رکوردی منحصر به فرد از خودش به جای گذاشت. مسی اما در ضربات پنالتی آمار خوبی ندارد و از ۸ پنالتی که زده فقط ۲ پنالتی او تبدیل به گل شده است. توضیحات مزدک میرزایی، ایران‌اینترنشنال در برنامه هت‌تریک @iranintltvsport 15.8K 03:31 PM,https://t.me/IranintlTV /346483,,,
346482,,پرس‌تی‌وی، شبکه خبری انگلیسی‌زبان صداوسیمای جمهوری اسلامی، به نقل از یک «منبع امنیتی» گزارش داد راهبرد جدید جمهوری اسلامی این است که در واکنش به هر حمله، دست‌کم دو برابر آن، اهداف طرف مقابل را هدف قرار دهد. این منبع افزود هر تهدیدی با پاسخی قاطع روبه‌رو خواهد شد و جمهوری اسلامی میان آمریکا و شرکای منطقه‌ای آن تفاوتی قائل نیست. به گفته این منبع، پس از هر حمله، تنگه هرمز به‌طور کامل بسته خواهد شد و بازگشایی آن بر اساس سازوکار مورد نظر جمهوری اسلامی و مطابق با تفاهم‌نامه اسلام‌آباد انجام می‌شود. https://iranintl.com/202607084101 36.9K 03:08 PM,https://t.me/IranintlTV /346482,,,
346481,,0:24 یک شهروند با ارسال پیامی به ایران اینترنشنال روایت می‌کند که برقراری ایست‌بازرسی در جاده «امام رضا» در پاکدشت موجب ایجاد ترافیک و اختلال در تردد شهروندان شده است. 40K 03:02 PM,https://t.me/IranintlTV /346481,,,
346480,,سیاست با مراد ویسی - ۱۶ تیر 23:58 نسخه صوتی سیاست با مراد ویسی: مساله چلوکباب نیست @iranintlTV 42.2K 02:56 PM,https://t.me/IranintlTV /346480,,,
346479,,8:21 ساعاتی پس از حمله گسترده ارتش آمریکا به بیش از ۸۰ هدف در جنوب ایران در واکنش به حملات سپاه به کشتی‌ها در تنگه هرمز، ترامپ گفت از نظر او تفاهمنامه و آتش‌بس به پایان رسیده. او مقام‌های جمهوری اسلامی را افرادی پست و بیمار خواند و گفت دیگر تمایلی به تعامل با آن‌ها ندارد. گزارشی از مجتبا پورمحسن @iranintltv 45.4K 02:53 PM,https://t.me/IranintlTV /346479,,,
346478,,0:32 وزیر دفاع آمریکا درباره حملات شبانه به مواضع جمهوری اسلامی اعلام کرد نیروهای آمریکایی با موفقیت اهدافی را در تنگه هرمز هدف قرار داده‌اند. پیت هگست گفت به دستور دونالد ترامپ، رییس‌جمهوری آمریکا، نیروهای این کشور آمادگی دارند تا در صورت نیاز، امشب نیز ضربات بیشتر و عمیق‌تری به مواضع جمهوری اسلامی وارد کنند. @iranintltv 45.3K 02:51 PM,https://t.me/IranintlTV /346478,,,
346477,,دونالد ترامپ چهارشنبه در دیدار با احمد الشرع،‌ رییس دولت سوریه در حاشیه نشست ناتو در آنکارا گفت سوریه می‌تواند در موضوع حزب‌الله و لبنان نقش‌آفرینی کند. او همچنین اعلام کرد قصد دارد سوریه را از فهرست کشورهای حامی تروریسم خارج کند. ترامپ افزود سوریه اکنون «بسیار باثبات» شده و تاکید کرد تحریم‌های اعمال‌شده علیه این کشور را لغو کرده است. https://iranintl.com/202607085912 47.5K 02:42 PM,https://t.me/IranintlTV /346477,,,
346476,,6:00 چرا حفظ استقلال برای یک نابینا هر روز دشوارتر و پرهزینه‌تر می‌شود؟ از افزایش قیمت ساده‌ترین تجهیزات کمک‌توان‌بخشی گرفته تا هزینه‌های رفت‌وآمد، اشتغال و شهری که هنوز برای همه قابل دسترس نیست. آیه دریس، عضو تحریریه ایران‌اینترنشنال، در «پیوست» به چالش‌های زندگی نابینایان زیر سایه جمهوری اسلامی می‌پردازد @iranintltv 48.6K 02:35 PM,https://t.me/IranintlTV /346476,,,
346475,,4:18 رهبران کشورهای عضو ناتو در بیانیه پایانی نشست دو روزه در آنکارا بر تعهد خود به دفاع از یکدیگر تاکید کردند. بیانیه ناتو درباره آزادی کشتیرانی در تنگه هرمز هشدار داد و افزود که ایران هرگز نباید به سلاح هسته‌ای دست یابد. فرزیا ثابتی، خبرنگار ایران‌اینترنشنال، گزارش می‌دهد @iranintltv 57K 02:20 PM,https://t.me/IranintlTV /346475,,,
